tweet_id,airline_sentiment,airline_sentiment_confidence,retweet_count,text,Feature Words (Lemma)
5.70306133677761E+017,1,1,0,@VirginAmerica What @dhepburn said.,What say
5.70301083672814E+017,1,0.6837,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,I today Must mean I need take another trip
5.70300248553349E+017,1,0.634,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Really miss prime opportunity Men Without Hats parody
5.70294189143032E+017,1,0.6769,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,know suicide second lead cause death among teens
5.7025882229758E+017,1,1,0,@VirginAmerica will you be making BOS&gt,make BOS gt
5.70217831557677E+017,1,0.6854,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,miss Do worry together soon
5.70124596180955E+017,1,0.615,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,LAX EWR Middle seat red eye Such noob maneuver sendambien andchexmix
5.7009470137147E+017,1,1,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,Are hours operation Club SFO post online current
5.70051991277343E+017,1,0.6207,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Nice RT Vibe moodlight takeoff touchdown MoodlitMonday ScienceBehindTheExperience
5.70038941497193E+017,1,0.6791,0,@VirginAmerica when can I book my flight to Hawaii??,I book flight Hawaii
5.70016304284901E+017,1,1,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt,plz help win bid upgrade flight LAX gt
5.70015408788415E+017,1,0.6578,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,I unused ticket move new city fly How I fly expire travelhelp
5.70013523650048E+017,1,1,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,flight leave Dallas Seattle time Feb
5.70011341483844E+017,1,0.6799,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,DREAM
5.70010539499393E+017,1,1,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,After last night tribute SoundOfMusic I think agree
5.70009713447825E+017,1,0.6436,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,All entertain
5.70009035455345E+017,1,0.6764,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Is flight way Was suppose take minutes ago Website still show On Time In Flight Thanks
5.70004391731847E+017,1,1,0,@VirginAmerica wish you flew out of Atlanta... Soon?,wish fly Atlanta Soon
5.70001194900427E+017,1,0.7118,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,Julie Andrews Hands
5.70000071644873E+017,1,1,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,Will flight leave Dallas LA February
5.69990163209851E+017,1,0.7007,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,Carrie
5.69989504431317E+017,1,1,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,New market song let us know think
5.69989321698075E+017,1,1,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,Julie Andrews first Lady Gaga wow last night Carrie Meh
5.69987622484849E+017,1,0.6858,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",great I go CarrieUnderwood
5.69986782567072E+017,1,1,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",Sorry Mary Martin first
5.69982307634795E+017,1,0.6814,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Flight DAL DCA Tried check could Status please
5.69961866224652E+017,1,1,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,Need change reservation Have Virgin credit card Do I need modify phone waive change fee Or I online
5.69949891163615E+017,1,0.6492,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,I email customer service team Let know need track number
5.69948966873371E+017,1,1,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",hi I book flight need add baggage I
5.69940834994401E+017,1,1,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",Or watch best student film country feet
5.69940323746517E+017,1,1,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,first time fly different media Bags Thanks
5.69934395865494E+017,1,1,0,@VirginAmerica what happened to Doom?!,happen Doom
5.6992339499042E+017,1,0.6705,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Ca bring reservation online use Flight Booking Problems code
5.69922008588222E+017,1,1,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,Random Q distribution elevate avatars I bet kitty disproportionate share
5.69920824905306E+017,1,0.6545,0,@VirginAmerica I &lt,I lt
5.69915941192016E+017,1,1,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",You RNP Yeah know
5.69913339427435E+017,1,0.6639,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",hi get point elevate account recent flight add flight point account
5.69911218942517E+017,1,0.6765,0,@VirginAmerica why is flight 345 redirected?,flight redirect
5.6989440700194E+017,1,1,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,try add boy Prince ressie SF Thursday LAX
5.69891469210755E+017,1,1,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,check new music
