,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Text,Feature_Words,Sentiment
0,0,0,0,0,0,0,@VirginAmerica What @dhepburn said.,,neg
1,1,1,1,1,1,1,@VirginAmerica plus you've added commercials to the experience... tacky.,plus added commercial,neg
2,2,2,2,2,2,2,@VirginAmerica I didn't today... Must mean I need to take another trip!,must mean need take another,neg
3,3,3,3,3,3,3,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",really aggressive blast obnoxious face little recourse,neg
4,4,4,4,4,4,4,@VirginAmerica and it's a really big bad thing about it,really big bad thing,neg
5,5,5,5,5,5,5,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",seriously would pay flight seat really bad thing flying va,neg
6,6,6,6,6,6,6,"@VirginAmerica yes, nearly every time I fly VX this â€œear wormâ€ wonâ€™t go away :)",nearly every time fly vx go away,neu
7,7,7,7,7,7,7,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",really missed prime opportunity men without hat,neg
8,8,8,8,8,8,8,"@virginamerica Well, I didn'tâ€¦but NOW I DO! :-D",,neg
9,9,9,9,9,9,9,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",arrived hour good,neg
10,10,10,10,10,10,10,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,know suicide second leading cause death among teen,neg
11,11,11,11,11,11,11,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,pretty much better minimal,neg
12,12,12,12,12,12,12,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,great already thinking trip even gone trip,neg
13,13,13,13,13,13,13,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,flying fabulous seductive sky u take stress away travel,neg
14,14,14,14,14,14,14,@VirginAmerica Thanks!,,neg
15,15,15,15,15,15,15,@VirginAmerica SFO-PDX schedule is still MIA.,schedule still,neg
16,16,16,16,16,16,16,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,excited first cross country flight lax mco heard nothing great thing virgin,neg
17,17,17,17,17,17,17,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,flew nyc sfo last week fully sit seat due two large gentleman either side,neg
18,18,18,18,18,18,18,I â¤ï¸ flying @VirginAmerica. â˜ºï¸ðŸ‘,flying,pos
19,19,19,19,19,19,19,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,know would amazingly want fly,neg
20,20,20,20,20,20,20,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,first fare may three time carrier seat available,neg
21,21,21,21,21,21,21,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,love,neg
22,22,22,22,22,22,22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,love hipster feel good,neg
23,23,23,23,23,23,23,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,making non stop permanently anytime,neg
24,24,24,24,24,24,24,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... ðŸ˜¡ I want free internet,guy messed reserved seating friend guy gave seat away want free internet,pos
25,25,25,25,25,25,25,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,status match applied three called emailed,neg
26,26,26,26,26,26,26,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,happened ur vegan food least say ur site know able eat anything next hr fail,neg
27,27,27,27,27,27,27,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,miss worry together,neg
28,28,28,28,28,28,28,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,amazing get cold air noair worstflightever roasted sfotobos,neg
29,29,29,29,29,29,29,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,lax ewr middle seat red noob sendambien andchexmix,neg
30,30,30,30,30,30,30,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems ðŸ˜¢",bked cool birthday trip add elevate cause entered middle name flight booking problem,pos
31,31,31,31,31,31,31,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,hour operation club sfo posted online,neg
32,32,32,32,32,32,32,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",left expensive headphone flight iad lax seat one answering number,neg
33,33,33,33,33,33,33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",awaiting return phone would prefer use online option,neg
34,34,34,34,34,34,34,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,great america could start flight hawaii end year via,neg
35,35,35,35,35,35,35,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,nice rt vibe moodlight takeoff moodlitmonday sciencebehindtheexperience,neg
36,36,36,36,36,36,36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. ðŸ’œâœˆ #MoodlitMonday,moodlighting way best experience cool moodlitmonday,pos
37,37,37,37,37,37,37,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",done best airline hand,neg
38,38,38,38,38,38,38,@VirginAmerica when can I book my flight to Hawaii??,book flight,neg
39,39,39,39,39,39,39,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,chat support working,neg
