text,tweet_id,name
@VirginAmerica What @dhepburn said.,5.70306133677761E+017,cairdin
@VirginAmerica plus you've added commercials to the experience... tacky.,5.70301130888122E+017,jnardino
@VirginAmerica I didn't today... Must mean I need to take another trip!,5.70301083672814E+017,yvonnalynn
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",5.70301031407624E+017,jnardino
@VirginAmerica and it's a really big bad thing about it,5.70300817074463E+017,jnardino
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",5.70300767074181E+017,jnardino
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",5.70300616901321E+017,cjmcginnis
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",5.70300248553349E+017,pilot
"@virginamerica Well, I didn't…but NOW I DO! :-D",5.70299953286943E+017,dhepburn
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",5.70295459631264E+017,YupitsTate
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,5.70294189143032E+017,idk_but_youtube
@VirginAmerica I &lt,5.70289724453216E+017,HyperCamiLax
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp,5.70289584061481E+017,HyperCamiLax
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,5.70287408438121E+017,mollanderson
@VirginAmerica Thanks!,5.70285904809599E+017,sjespers
@VirginAmerica SFO-PDX schedule is still MIA.,5.70282469121008E+017,smartwatermelon
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,5.70277724385735E+017,ItzBrianHunty
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,5.70276917301137E+017,heatherovieda
I ❤️ flying @VirginAmerica. ☺️👍,5.70270684619923E+017,thebrandiray
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,5.70267956648792E+017,JNLpierce
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,5.70265883513385E+017,MISSGJ
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,5.70264145116819E+017,DT_Les
@VirginAmerica I love the hipster innovation. You are a feel good brand.,5.70259420287869E+017,ElvinaBeck
@VirginAmerica will you be making BOS&gt,5.7025882229758E+017,rjlynch21086
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,5.70256553502069E+017,ayeevickiee
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,5.70249102404923E+017,Leora13
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,5.70239632807371E+017,meredithjlynn
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,5.70217831557677E+017,AdamSinger
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,5.70207886493782E+017,blackjackpro911
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,5.70124596180955E+017,TenantsUpstairs
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",5.70114021854212E+017,jordanpichler
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,5.7009470137147E+017,JCervantezzz
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",5.70088404156699E+017,Cuschoolie1
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",5.70084582780899E+017,amanduhmccarty
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,5.70076792993612E+017,NorthTxHomeTeam
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,5.70051991277343E+017,miaerolinea
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,5.70051381534396E+017,Nicsplace
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",5.70045393565692E+017,Nicsplace
@VirginAmerica when can I book my flight to Hawaii??,5.70038941497193E+017,elisha_malulani
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,5.70035876845085E+017,DannyDouglass
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",5.70033593394668E+017,jamesferrandini
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",5.70025482344899E+017,will_lenzenjr
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt,5.70016304284901E+017,GottAmanda
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,5.70015408788415E+017,KGervaise
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,5.70013523650048E+017,papamurat
@VirginAmerica I'm #elevategold for a good reason: you rock!!,5.7001225754907E+017,arieldaie
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,5.70011341483844E+017,vacations7
@VirginAmerica wow this just blew my mind,5.70010571707257E+017,ChelseaPoe666
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,5.70010539499393E+017,BobGlavinVO
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,5.70009713447825E+017,lisaaiko
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",5.70009035455345E+017,grantbrowne
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,5.70006886012973E+017,joyabsalon
@VirginAmerica wish you flew out of Atlanta... Soon?,5.70004391731847E+017,2v
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,5.70001194900427E+017,KSmithFoundHere
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,5.70000071644873E+017,papamurat
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt,5.69996412286583E+017,murphicus
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,5.69996245462159E+017,VinnieFerra
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,5.69990222609412E+017,KevinDemsi
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,5.69990163209851E+017,giffgaffman
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,5.69989504431317E+017,HanlonBrothers
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,5.69989321698075E+017,emilybg78
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,5.69989034501501E+017,rachie1126
