tweet_id,airline_sentiment,airline_sentiment_confidence,retweet_count,text,Feature Words (Lemma)
5.70301031407624E+017,0,1,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",really aggressive blast obnoxious entertainment guests face amp little recourse
5.70300817074463E+017,0,1,0,@VirginAmerica and it's a really big bad thing about it,really big bad thing
5.70300767074181E+017,0,1,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",seriously would pay flight seat play really bad thing fly VA
5.70282469121008E+017,0,0.6842,0,@VirginAmerica SFO-PDX schedule is still MIA.,schedule still MIA
5.70276917301137E+017,0,1,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,I fly NYC SFO last week could fully sit seat due two large gentleman either side HELP
5.70265883513385E+017,0,0.6705,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,first fare May three time carriers seat available select
5.70256553502069E+017,0,1,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,guy mess I reserve seat friends guy give seat away I want free internet
5.70249102404923E+017,0,1,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,status match program I apply three weeks Called email response
5.70239632807371E+017,0,1,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,What happen ur vegan food options At least say ur site know I wo able eat anything next hrs fail
5.70207886493782E+017,0,1,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,amaze ca get cold air vent noair worstflightever roast SFOtoBOS
5.70114021854212E+017,0,1,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",hi I bked cool birthday trip ca add elevate cause enter middle name Flight Booking Problems
5.70088404156699E+017,0,1,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",help leave expensive headphones flight IAD LAX today Seat No one answer L amp F number LAX
5.70084582780899E+017,0,1,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",await return phone call would prefer use online option
5.70035876845085E+017,0,1,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Your chat support work site
5.70025482344899E+017,0,0.6688,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Hey first time flyer next week excite But I hard time get flight add Elevate account Help
5.69996412286583E+017,0,0.6939,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt,hi excite gt
5.69989034501501E+017,0,1,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,I call weeks ago add flight Elevate still show help
5.69976620158579E+017,0,1,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,heyyyy try get hour someone call please
5.69973821396152E+017,0,1,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Hi Virgin I hold minutes earlier flight LA NYC tonight earlier
5.69967019958731E+017,0,1,0,@VirginAmerica everything was fine until you lost my bag,everything fine lose bag
5.69946362126602E+017,0,1,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,airline awesome lax loft need step game dirty table floor
5.69935232033366E+017,0,1,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,go customer service Is anyway speak human asap Thank
5.69933816963342E+017,0,1,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,ca supp biz traveler like customer service like neverflyvirginforbusiness
5.6993340550631E+017,0,0.6792,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,best Whenever I begrudgingly use airline I delay Late Flight
