tweet_id,airline_sentiment,airline_sentiment_confidence,retweet_count,text,Feature Words (Lemma)
5.70301130888122E+017,2,0.3486,0,@VirginAmerica plus you've added commercials to the experience... tacky.,plus add commercials experience tacky
5.70300616901321E+017,2,0.6745,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",yes nearly every time I fly VX ear worm go away
5.70299953286943E+017,2,0.6559,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",Well I NOW I DO
5.70295459631264E+017,2,1,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",amaze arrive hour early You good
5.70289724453216E+017,2,1,0,@VirginAmerica I &lt,I lt
5.70289584061481E+017,2,1,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp,This great deal Already think trip amp
5.70287408438121E+017,2,0.6451,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,I fly fabulous Seductive sky U take stress away travel
5.70285904809599E+017,2,1,0,@VirginAmerica Thanks!,Thanks
5.70277724385735E+017,2,1,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,So excite first cross country flight LAX MCO I hear nothing great things Virgin America
5.70270684619923E+017,2,1,0,I ❤️ flying @VirginAmerica. ☺️👍,I fly
5.70267956648792E+017,2,1,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,know would amazingly awesome PLEASE I want fly
5.70264145116819E+017,2,1,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,I love graphic
5.70259420287869E+017,2,1,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,I love hipster innovation You feel good brand
5.70076792993612E+017,2,1,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,great news America could start flight Hawaii end year via
5.70051381534396E+017,2,1,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Moodlighting way fly Best experience EVER Cool calm MoodlitMonday
5.70045393565692E+017,2,1,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",Done do Best airline around hand
5.70033593394668E+017,2,0.6639,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",View downtown Los Angeles Hollywood Sign beyond rain mountains
5.7001225754907E+017,2,1,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,I elevategold good reason rock
5.70010571707257E+017,2,1,0,@VirginAmerica wow this just blew my mind,wow blow mind
5.70006886012973E+017,2,0.657,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Julie Andrews way though impressive NO
5.69996245462159E+017,2,1,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,know Need spotify stat guiltypleasures
5.69990222609412E+017,2,0.635,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,I Lady Gaga She amaze
5.69986348041548E+017,2,1,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,love three really ca beat classics
5.69972508499284E+017,2,0.6922,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Congrats win award Best Deals Airline US
5.69942903683813E+017,2,1,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",worry great ride new plane great crew All airlines like
5.69941957490774E+017,2,1,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,awesome I fly yall Sat morning Any way correct bill
5.69933777931145E+017,2,1,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,I apply member inflight crew team Im interest flightattendant dreampath
5.69887049446076E+017,2,1,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",amaze customer service RaeAnn SF best customerservice virginamerica fly
5.69873669700358E+017,2,0.6823,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",getaway deal May Lots cool cities CheapFlights FareCompare
5.69873665640292E+017,2,0.6806,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",getaway deal May Lots cool cities CheapFlights FareCompare
5.69872058613674E+017,2,0.678,0,@VirginAmerica Have a great week 🌞✈,Have great week
5.69861209781989E+017,2,0.3482,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,come back PHL already We need take us horrible cold pleasecomeback
5.69814339785339E+017,2,1,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",best airline I fly change reservation helpful representatives amp comfortable fly experience
5.69777607371129E+017,2,1,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Another rep kick butt Naelah represent team beautifully Thank
5.6977407823342E+017,2,1,0,@VirginAmerica your beautiful front-end design is down right now,beautiful design right
5.69770363623576E+017,2,1,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Love team run Gate LAS tonight Waited delay flight keep things entertain
5.69714127792255E+017,2,1,0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,thank outstanding crew move mountains get home San Francisco tonight
5.69675144353829E+017,2,1,0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,absolute best team customer service ever Every time I fly I delight Thank
5.69652497947734E+017,2,1,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,completely awesome experience last month nonstop Thanks awesome flight depart time VAbeatsJblue
5.69625739231949E+017,2,1,1,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,ROCK make I watch Oscars flight redcarpet oscars
