tweet_id,airline_sentiment,airline_sentiment_confidence,retweet_count,text,Feature Words (Lemma),Predicted Sentiment
5.70306133677761e+17,1,1.0,0,@VirginAmerica What @dhepburn said.,What say,0
5.70301130888122e+17,2,0.3486,0,@VirginAmerica plus you've added commercials to the experience... tacky.,plus add commercials experience tacky,2
5.70301083672814e+17,1,0.6837,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,I today Must mean I need take another trip,0
5.70301031407624e+17,0,1.0,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",really aggressive blast obnoxious entertainment guests face amp little recourse,2
5.70300817074463e+17,0,1.0,0,@VirginAmerica and it's a really big bad thing about it,really big bad thing,0
5.70300767074181e+17,0,1.0,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",seriously would pay flight seat play really bad thing fly VA,0
5.70300616901321e+17,2,0.6745,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",yes nearly every time I fly VX ear worm go away,0
5.70300248553349e+17,1,0.634,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Really miss prime opportunity Men Without Hats parody,1
5.70299953286943e+17,2,0.6559,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",Well I NOW I DO,0
5.70295459631264e+17,2,1.0,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",amaze arrive hour early You good,0
5.70294189143032e+17,1,0.6769,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,know suicide second lead cause death among teens,0
5.70289724453216e+17,2,1.0,0,@VirginAmerica I &lt,I lt,2
5.70289584061481e+17,2,1.0,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp,This great deal Already think trip amp,0
5.70287408438121e+17,2,0.6451,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,I fly fabulous Seductive sky U take stress away travel,0
5.70285904809599e+17,2,1.0,0,@VirginAmerica Thanks!,Thanks,2
5.70282469121008e+17,0,0.6842,0,@VirginAmerica SFO-PDX schedule is still MIA.,schedule still MIA,0
5.70277724385735e+17,2,1.0,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,So excite first cross country flight LAX MCO I hear nothing great things Virgin America,2
5.70276917301137e+17,0,1.0,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,I fly NYC SFO last week could fully sit seat due two large gentleman either side HELP,0
5.70270684619923e+17,2,1.0,0,I ❤️ flying @VirginAmerica. ☺️👍,I fly,0
5.70267956648792e+17,2,1.0,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,know would amazingly awesome PLEASE I want fly,2
5.70265883513385e+17,0,0.6705,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,first fare May three time carriers seat available select,0
5.70264145116819e+17,2,1.0,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,I love graphic,2
